Data wystawienia;Kontrahent;Przychód;Rozchód
03.12.2019;D+H Polska Sp. z o.o.;0;2
20.11.2019;EKODYNAMIC Sp. z o.o. Spó³ka Komandytowa;0;1
20.11.2019;Szko³a Podstawowa Nr 51;0;6
15.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
15.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
14.11.2019;"Baseny Miejskie ""Termy Jakuba"" Sp. z o.o.";0;1
14.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
14.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
13.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;10
08.11.2019;SYSTEMS ELECTRONIC JERZY LORKOWSKI;0;1
08.11.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
08.11.2019;Wspólnota Mieszkaniowa „ Mosiê¿na 3-21”;0;19
08.11.2019;HEESUNG PRECISION POLAND Sp. z o.o.;0;10
30.10.2019;Wspólnota Mieszkaniowa „ KOWARZYKA 9-17 „;0;1
30.10.2019;"Wspólnota Mieszkaniowa ""Obornicka 99""";0;1
22.10.2019;ATRIUM DOMINIKAÑSKA Sp. z o.o.;0;3
22.10.2019;ATRIUM DOMINIKAÑSKA Sp. z o.o.;0;2
22.10.2019;ATRIUM DOMINIKAÑSKA Sp. z o.o.;0;2
09.10.2019;CEVA LOGISTICS POLAND Sp. z o.o.;0;1
04.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
02.10.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
01.10.2019;REALMS DISTRIBUTION ;0;3
26.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
26.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
24.09.2019;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;1
16.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
12.09.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
09.09.2019;Wspólnota Mieszkaniowa ul. Piêkna 58, 58b, 58c;0;1
03.09.2019;ROBERT BURSZEWSKI;0;1
03.09.2019;ROBERT BURSZEWSKI;0;1
02.09.2019;JAFRA CONNECT Sp. z o.o.;0;1
02.09.2019;Centrum Kreatywnoœci TALENT;0;27
30.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
29.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
29.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
23.08.2019;CEDO Spólka z o.o.;0;1
19.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
19.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
19.08.2019;ROMA Roma Szymakowska;0;1
13.08.2019;HAST Dworak Andrzej;0;1
07.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
07.08.2019;BIELANY MEGAPOLIS Sp. z o.o. Sp.K.;0;1
07.08.2019;Wspólnota Mieszkaniowa Graniczna 1-13, Mieszczañsk;0;1
07.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.08.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
01.08.2019;Cargilll Poland Sp. z o.o. Oddzia³ w Bielanach Wr;0;16
31.07.2019;"Wspólnota Mieszkaniowa ""Braterska 7-27""";0;1
30.07.2019;I2 Development Sp. z o.o. Piêkna Sp.k.;0;3
29.07.2019;D+H Polska Sp. z o.o.;0;1
19.07.2019;"Wspólnota Mieszkaniowa ""Rezydencja Parkowa Bielany";0;1
17.07.2019;FIAB SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥ ;0;1
17.07.2019;PHU DOKAMA Sp. z o.o.;0;15
17.07.2019;Szko³a Podstawowa Nr 80 im. Tysi¹clecia Wroc³awia;0;1
15.07.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.07.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
04.07.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
04.07.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;4
03.07.2019;SYSTEMS ELECTRONIC JERZY LORKOWSKI;0;2
01.07.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
26.06.2019;WM PRZY UL. JANA PAW£A II 1,3,5,7 SIECHNICE;0;1
24.06.2019;WSPÓLNOTA MIESZKANIOWA MAESTRO III UL.SCHUBERTA 50;0;1
24.06.2019;WSPÓLNOTA MIESZKANIOWA MAESTRO IV;0;1
24.06.2019;MAESTRO 5, PRZY UL. SCHUBERTA 60-76;0;2
24.06.2019;TOPACZ INVESTMENTS Sp. z o.o.;0;1
14.06.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.06.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.06.2019;Wspólnota Mieszkaniowa PrzyjaŸñ;0;2
13.06.2019;Wspólnota Mieszkaniowa Brzeska 5-15;0;2
13.06.2019;Wspólnota Mieszkaniowa PrzyjaŸni 101-105A;0;5
