Data wystawienia;Kontrahent;Przych�d;Rozch�d
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
29.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
28.04.2020;Schavemaker Poland Sp. z o.o.;0;2
24.04.2020;FPH MAGNAT sp. j. M.Jarocki, K. D�browski;0;2
23.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;12
23.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
23.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;19
16.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
16.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;12
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
01.04.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
23.03.2020;Piast Investment Sp�ka z o.o.;0;1
18.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;5
18.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
18.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
13.03.2020;SONKO Sp. z o.o.;0;1
10.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
10.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
06.03.2020;BOXMET;150;0
05.03.2020;BFF INVESTMENTS POLSKA SP. z o.o.;0;3
05.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.03.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
02.03.2020;DONG YANG Electronics Sp. z o.o.;0;1
28.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
28.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;9
27.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
21.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;7
21.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
14.02.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
05.02.2020;PGE EKOSERWIS Sp. z o.o.;0;1
04.02.2020;WM �Rac�awicka 71-97�;0;2
04.02.2020;Zesp� Elekrociep�owni Wroc�awskich KOGENERACJA S.;0;24
04.02.2020;Zesp� Elekrociep�owni Wroc�awskich KOGENERACJA S.;0;13
04.02.2020;DS Smith Polska sp. z o.o.;0;7
04.02.2020;DS Smith Polska sp. z o.o.;0;1
03.02.2020;BOXMET;30;0
31.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;4
31.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;14
31.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;2
31.01.2020;WTB INSTALACJE - Pawe� Knysz;0;4
31.01.2020;BOXMET;150;0
27.01.2020;PGE EKOSERWIS Sp. z o.o.;0;2
27.01.2020;BOXMET;20;0
23.01.2020;AMI SPӣKA JAWNA KUBIS, KAMI�SKI, PYTEL;0;1
23.01.2020;SE-KO Su�kowski Krzysztof;0;3
23.01.2020;W.P.B.M. M�J DOM SA;0;7
23.01.2020;"Wsp�lnota M ieszkaniowa ""Partynicka 18""";0;2
23.01.2020;Forum Zarz�dzanie Nieruchomo�ciami sp.j.;0;1
22.01.2020;Schavemaker Poland Sp. z o.o.;0;2
21.01.2020;DEVCO Sp. z o.o.;0;1
20.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
20.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;6
15.01.2020;UNI-TRUCK SP. Z O.O. Oddzia� Wroc�aw;0;1
14.01.2020;ABM alarm Jan Kalin;0;1
13.01.2020;WTB INSTALACJE - Pawe� Knysz;0;1
11.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;3
11.01.2020;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
11.01.2020;SCHAVEMAKER INVEST Sp.z o.o.;0;7
31.12.2019;;21;0
27.12.2019;SYSTEMS ELECTRONIC JERZY LORKOWSKI;0;8
27.12.2019;WSP�LNOTA MIESZKANIOWA UL.DZIELNICOWA 4 WROC�AW;0;1
23.12.2019;"WSP�LNOTA MIESZKANIOWA ""ZIELONE ZACISZE""";0;1
23.12.2019;Wsp�lnota Mieszkaniowa �KWADRAT�;0;4
19.12.2019;Szko�a Podtstawowa nr 77 im. T.R�ewicza;0;2
17.12.2019;Cargilll Poland Sp. z o.o. Oddzia� w Bielanach Wr;0;11
16.12.2019;WSP�LNOTA MIESZKANIOWA APARTAMENTY STRZEGOMSKA;0;1
11.12.2019;BOXMET;20;0
11.12.2019;BOXMET;40;0
09.12.2019;WM MALOWNICZA 24A 24B, 24C, 24D;0;1
09.12.2019;WM MALOWNICZY ZAK�TEK 1, WYSOKA;0;1
06.12.2019;KAUFLAND POLSKA MARKETY Sp. z o.o. Sp.k.;0;1
